CustomerId,CustomerTypeId,TradeNameId,TradeName,PeriodStartDate,PeriodEndDate,CustomerTradeNameNote
CID-023,Business,TN-REN-023,Northstar Municipal Power 23,2018-09-16,,Synthetic renewable offtaker trade name for demo mapping only
CID-024,Business,TN-REN-024,Blue Ridge Campus Energy 24,2018-10-29,,Synthetic renewable offtaker trade name for demo mapping only
CID-025,Government,TN-REN-025,Prairie Community Solar 25,2018-12-11,,Synthetic renewable offtaker trade name for demo mapping only
CID-026,Business,TN-REN-026,Harbor Manufacturing PPA 26,2019-01-23,,Synthetic renewable offtaker trade name for demo mapping only
CID-027,Government,TN-REN-027,Summit Water District 27,2019-03-07,2025-12-31,Synthetic renewable offtaker trade name for demo mapping only
CID-028,Business,TN-REN-028,Canyon Transit Authority 28,2019-04-19,,Synthetic renewable offtaker trade name for demo mapping only
CID-029,Business,TN-REN-029,Riverbend Data Center Energy 29,2019-06-01,,Synthetic renewable offtaker trade name for demo mapping only
CID-030,Government,TN-REN-030,Mesa Retail Aggregator 30,2019-07-14,,Synthetic renewable offtaker trade name for demo mapping only
CID-031,Business,TN-REN-031,Evergreen Utility Cooperative 31,2019-08-26,,Synthetic renewable offtaker trade name for demo mapping only
CID-032,Government,TN-REN-032,Sunrise Clean Energy Buyer 32,2019-10-08,,Synthetic renewable offtaker trade name for demo mapping only
CID-033,Business,TN-REN-033,Northstar Municipal Power 33,2019-11-20,,Synthetic renewable offtaker trade name for demo mapping only
CID-034,Business,TN-REN-034,Blue Ridge Campus Energy 34,2020-01-02,,Synthetic renewable offtaker trade name for demo mapping only
CID-035,Government,TN-REN-035,Prairie Community Solar 35,2020-02-14,,Synthetic renewable offtaker trade name for demo mapping only
CID-036,Business,TN-REN-036,Harbor Manufacturing PPA 36,2020-03-28,2025-12-31,Synthetic renewable offtaker trade name for demo mapping only
CID-037,Government,TN-REN-037,Summit Water District 37,2020-05-10,,Synthetic renewable offtaker trade name for demo mapping only
CID-038,Business,TN-REN-038,Canyon Transit Authority 38,2020-06-22,,Synthetic renewable offtaker trade name for demo mapping only
CID-039,Business,TN-REN-039,Riverbend Data Center Energy 39,2020-08-04,,Synthetic renewable offtaker trade name for demo mapping only
CID-040,Government,TN-REN-040,Mesa Retail Aggregator 40,2020-09-16,,Synthetic renewable offtaker trade name for demo mapping only
CID-041,Business,TN-REN-041,Evergreen Utility Cooperative 41,2020-10-29,,Synthetic renewable offtaker trade name for demo mapping only
CID-042,Government,TN-REN-042,Sunrise Clean Energy Buyer 42,2020-12-11,,Synthetic renewable offtaker trade name for demo mapping only
CID-043,Business,TN-REN-043,Northstar Municipal Power 43,2021-01-23,,Synthetic renewable offtaker trade name for demo mapping only
CID-044,Business,TN-REN-044,Blue Ridge Campus Energy 44,2021-03-07,,Synthetic renewable offtaker trade name for demo mapping only
CID-045,Government,TN-REN-045,Prairie Community Solar 45,2021-04-19,2025-12-31,Synthetic renewable offtaker trade name for demo mapping only
CID-046,Business,TN-REN-046,Harbor Manufacturing PPA 46,2021-06-01,,Synthetic renewable offtaker trade name for demo mapping only
CID-047,Government,TN-REN-047,Summit Water District 47,2021-07-14,,Synthetic renewable offtaker trade name for demo mapping only
CID-048,Business,TN-REN-048,Canyon Transit Authority 48,2021-08-26,,Synthetic renewable offtaker trade name for demo mapping only
CID-049,Business,TN-REN-049,Riverbend Data Center Energy 49,2021-10-08,,Synthetic renewable offtaker trade name for demo mapping only
CID-050,Government,TN-REN-050,Mesa Retail Aggregator 50,2021-11-20,,Synthetic renewable offtaker trade name for demo mapping only
